"FrogId a pedido
[Pedido]",FACTURA,"Cliente
[Cliente]","Fecha de liquidación
[Liquidación]","Descripción
Fabricante",PREVENTA,REPARTO,"Denominación comercial
[Cliente]","Producto
[Pedido det.]","Descripción
Canal","Descripción
Marca","Descripción
Catalogo presentaciones",CAJAS,"Unidad
[Pedido det.]","Multiplica
[Múltiplo producto]", IMPORTE BRUTO S/IMP , TOTAL S/IMP ,"Factor conversión 1
[Producto]","Factor conversión 3
[Producto]",HLT,"Descripción
[Producto]",PLAZA,CANAL,CLASIF,CF,SABOR,Compañía,AÑO
ORI FRPED_CLIENTE/ORIP-3488003,,7122413,13/07/2026,PEÑAFIEL BEBIDAS S.A. DE C.V.,206,104,panaderia flor del itsmo,38,PUNTO DE VENTA,PEÑAFIEL AGUA MINERAL,2 LITROS MIN,1,CJ08,8, $181.90 , $181.90 ,0.16,2,0.16,AGUA MINERAL 2 L PET,ORIZABA,DETALLE,CF,1,NATURAL,PEÑAFIEL,2026
ORI FRPED_CLIENTE/ORIP-3488005,,705067,13/07/2026,PEÑAFIEL BEBIDAS S.A. DE C.V.,206,104,MISCELANEA PINO,80,PUNTO DE VENTA,PEÑAFIEL AGUA MINERAL,600 ML,1,CJ12,12, $167.24 , $167.24 ,0.072,0.6,0.072,AGUA MINERAL 600 ML PET,ORIZABA,DETALLE,CF,1,NATURAL,PEÑAFIEL,2026
ORI FRPED_CLIENTE/ORIP-3488017,,7125826,13/07/2026,PEÑAFIEL BEBIDAS S.A. DE C.V.,206,104,CASA MORENO,1410,PUNTO DE VENTA,PEÑAFIEL ADAS,600 ML,1,CJ12,12, $184.48 , $184.48 ,0.072,0.6,0.072,PET NARANJADA 600 ML,ORIZABA,DETALLE,CF,1,#N/D,PEÑAFIEL,2026
ORI FRPED_CLIENTE/ORIP-3488019,,7132090,13/07/2026,PEÑAFIEL BEBIDAS S.A. DE C.V.,206,104,ABARROTES CONCHITA,21700,PUNTO DE VENTA,RC COLA,237 ML,1,CJ12,12, $61.64 , $61.64 ,0.0284,0.237,0.02844,RC COLA 237 ML NVO,ORIZABA,DETALLE,CF,1.001408451,COLA,PEÑAFIEL,2026
ORI FRPED_CLIENTE/ORIP-3488020,,7135612,13/07/2026,PEÑAFIEL BEBIDAS S.A. DE C.V.,206,104,CHILES NORA,31,PUNTO DE VENTA,PEÑAFIEL ADAS,2 LITROS,1,UCJ,1, $205.17 , $205.17 ,0.16,2,0.16,A. PIÑADA 2 L PET,ORIZABA,DETALLE,CF,1,PIÑA,PEÑAFIEL,2026
ORI FRPED_CLIENTE/ORIP-3488020,,7135612,13/07/2026,PEÑAFIEL BEBIDAS S.A. DE C.V.,206,104,CHILES NORA,77,PUNTO DE VENTA,PEÑAFIEL ADAS,600 ML,1,UCJ,1, $184.48 , $184.48 ,0.072,0.6,0.072,PET PIÑADA 600 ML,ORIZABA,DETALLE,CF,1,PIÑA,PEÑAFIEL,2026
ORI FRPED_CLIENTE/ORIP-3488182,,90064337,13/07/2026,LABORATORIOS PISA S.A. DE C.V,217,111,CLIENTE GENERICO 217,6500,PUNTO DE VENTA,ELECTROLIT,625 ML,1,CJ12,12, $293.00 , $235.04 ,0.075,0.625,0.075,ELECTROLIT FRESA 625 ML PET,ORIZABA,DETALLE,CF,1,FRESA,ELECTROLIT,2026
ORI FRPED_CLIENTE/ORIP-3488182,,90064337,13/07/2026,LABORATORIOS PISA S.A. DE C.V,217,111,CLIENTE GENERICO 217,6510,PUNTO DE VENTA,ELECTROLIT,625 ML,1,CJ12,12, $293.00 , $235.04 ,0.075,0.625,0.075,"ELECTROLIT MORA AZUL 12/ 625 ML
",ORIZABA,DETALLE,CF,1,MORA AZUL,ELECTROLIT,2026
ORI FRPED_CLIENTE/ORIP-3488390,,57853,13/07/2026,PEÑAFIEL BEBIDAS S.A. DE C.V.,405,306,ABARROTES KARLITA,78,PUNTO DE VENTA,CLAMATO,473 ML,1,U06,6, $144.25 , $144.25 ,0.0568,0.473,0.02838,CLAMATO ALMEJA 473 ML VNR,CORDOBA,DETALLE,CF,0.499647887,ALMEJA,PEÑAFIEL,2026
ORI FRPED_CLIENTE/ORIP-3488405,,2807555,13/07/2026,PEÑAFIEL BEBIDAS S.A. DE C.V.,405,306,ABARROTES CRISTO NEGRO,2118,PUNTO DE VENTA,CLAMATO,946 ML,1,UPZ,1, $42.42 , $42.42 ,0.1135,0.946,0.00946,CLAMATO CUBANO 946 ML PET,CORDOBA,DETALLE,CF,0.083348018,CUBANO,PEÑAFIEL,2026
ORI FRPED_CLIENTE/ORIP-3488413,,2808508,13/07/2026,PEÑAFIEL BEBIDAS S.A. DE C.V.,405,306,POLLOS CHITO-CHAN,21701,CENTRO DE CONSUMO,RC COLA,600 ML,6,UPZ,1, $70.69 , $70.69 ,0.072,0.6,0.036,RC COLA 600 ML NVO,CORDOBA,DETALLE,CF,0.5,COLA,PEÑAFIEL,2026
