"FrogId a pedido
[Pedido]",FACTURA,"Cliente
[Cliente]","Fecha de liquidación
[Liquidación]","Descripción
Fabricante",PREVENTA,REPARTO,"Denominación comercial
[Cliente]","Producto
[Pedido det.]","Descripción
Canal","Descripción
Marca","Descripción
Catalogo presentaciones",CAJAS,"Unidad
[Pedido det.]","Multiplica
[Múltiplo producto]", IMPORTE BRUTO S/IMP , TOTAL S/IMP ,"Factor conversión 1
[Producto]","Factor conversión 3
[Producto]",HLT,"Descripción
[Producto]",PLAZA,CANAL,CLASIF,CF,SABOR,Compañía,AÑO
COS FRPED_CLIENTE/COSP-109165,,1163,18/07/2026,PEÑAFIEL BEBIDAS S.A. DE C.V.,1051,1002,LA FORTALEZA ,63,PUNTO DE VENTA,PEÑAFIEL TWIST,600 ML,2,UCJ,1,368.9656,368.9656,0.072,0.6,0.144,TWIST LIMON 600 ML PET,COSAMALOAPAN,DETALLE,CF,2,LIMON,PEÑAFIEL,2026
COS FRPED_CLIENTE/COSP-109167,,1183,18/07/2026,BONAFONT S.A. DE C.V.,1051,1002,FARMACIA SAN JOSE,43441,PUNTO DE VENTA,BONAFONT BOTELLA,1 LITRO,1,UCJ,1,126,96,0.12,1,0.12,BONAFONT AGUA 1 L PET,COSAMALOAPAN,DETALLE,CF,1,NATURAL,BONAFONT BOTELLA,2026
COS FRPED_CLIENTE/COSP-109168,,1324,18/07/2026,PEÑAFIEL BEBIDAS S.A. DE C.V.,1051,1002,SIX CHACALTIANGUIS,81,PUNTO DE VENTA,PEÑAFIEL ADAS,600 ML,1,UCJ,1,184.4828,184.4828,0.072,0.6,0.072,PET NARANJADA 600 ML,COSAMALOAPAN,TDC,CF,1,NARANJA,PEÑAFIEL,2026
COS FRPED_CLIENTE/COSP-109169,,1164,18/07/2026,PEÑAFIEL BEBIDAS S.A. DE C.V.,1051,1002,SUPER TEPENZINGO,38,PUNTO DE VENTA,PEÑAFIEL AGUA MINERAL,2 LITROS MIN,1,CJ08,8,181.8968,163.7068,0.16,2,0.16,AGUA MINERAL 2 L PET,COSAMALOAPAN,DETALLE,CF,1,NATURAL,PEÑAFIEL,2026
COS FRPED_CLIENTE/COSP-109169,,1164,18/07/2026,PEÑAFIEL BEBIDAS S.A. DE C.V.,1051,1002,SUPER TEPENZINGO,63,PUNTO DE VENTA,PEÑAFIEL TWIST,600 ML,1,UCJ,1,184.4828,166.0328,0.072,0.6,0.072,TWIST LIMON 600 ML PET,COSAMALOAPAN,DETALLE,CF,1,LIMON,PEÑAFIEL,2026
COS FRPED_CLIENTE/COSP-109169,,1164,18/07/2026,PEÑAFIEL BEBIDAS S.A. DE C.V.,1051,1002,SUPER TEPENZINGO,80,PUNTO DE VENTA,PEÑAFIEL AGUA MINERAL,600 ML,1,CJ12,12,167.2416,150.5216,0.072,0.6,0.072,AGUA MINERAL 600 ML PET,COSAMALOAPAN,DETALLE,CF,1,NATURAL,PEÑAFIEL,2026
COS FRPED_CLIENTE/COSP-109171,,1121,18/07/2026,COMERCIALIADORA ELORO S.A.,1051,1002,ABARROTES SAMY,8120,PUNTO DE VENTA,BIDA,500 ML,1,CJ12,12,153.9996,153.9996,0.06,0.5,0.06,BIDA MANZANA 500 ML,COSAMALOAPAN,DETALLE,CF,1,MANZANA,JUMEX,2026
COS FRPED_CLIENTE/COSP-109174,,1119,18/07/2026,PEÑAFIEL BEBIDAS S.A. DE C.V.,1051,1002,ABARROTES PRINCIPE DE PAZ ,1487,PUNTO DE VENTA,PEÑAFIEL ADAS,400 ML,12,UPZ,1,123.2748,123.2748,0.048,0.4,0.048,"NARANJADA 400 ML


",COSAMALOAPAN,DETALLE,CF,1,#N/D,PEÑAFIEL,2026
COS FRPED_CLIENTE/COSP-109176,,1185,18/07/2026,BONAFONT S.A. DE C.V.,1052,1001,ANTOJITOS ZAHORY,43441,PUNTO DE VENTA,BONAFONT BOTELLA,1 LITRO,2,UCJ,1,252,192,0.12,1,0.24,BONAFONT AGUA 1 L PET,COSAMALOAPAN,DETALLE,CF,2,NATURAL,BONAFONT BOTELLA,2026
COS FRPED_CLIENTE/COSP-109176,,1185,18/07/2026,ENVASADORA LA SUPREMA S.A. DE C.V.,1052,1001,ANTOJITOS ZAHORY,9210,PUNTO DE VENTA,AGUAS FRESCAS,1 LITRO,1,CJ06,6,93,93,0.06,1,0.06,AGUAS FRESCAS UVA 1 L 6P,COSAMALOAPAN,DETALLE,CF,1,UVA,BONAFONT BOTELLA,2026
