"FrogId a pedido
[Pedido]",FACTURA,"Cliente
[Cliente]","Fecha de liquidación
[Liquidación]","Descripción
Fabricante",PREVENTA,REPARTO,"Denominación comercial
[Cliente]","Producto
[Pedido det.]","Descripción
Canal","Descripción
Marca","Descripción
Catalogo presentaciones",CAJAS,"Unidad
[Pedido det.]","Multiplica
[Múltiplo producto]", IMPORTE BRUTO S/IMP , TOTAL S/IMP ,"Factor conversión 1
[Producto]","Factor conversión 3
[Producto]",HLT,"Descripción
[Producto]",PLAZA,CANAL,CLASIF,CF,SABOR,Compañía,AÑO
COS FRPED_CLIENTE/COSP-108842,,90066847,16/07/2026,BONAFONT S.A. DE C.V.,1051,1002,ESTANQUILLO GRIS,5475,PUNTO DE VENTA,BONAFONT BOTELLA,10 LITROS,1,UPZ,1,37,37,0.1,10,0.1,BIDON 10 L BNF,COSAMALOAPAN,DETALLE,CF,1,#N/D,BONAFONT BOTELLA,2026
COS FRPED_CLIENTE/COSP-108851,,90062858,16/07/2026,PEÑAFIEL BEBIDAS S.A. DE C.V.,1051,1002,FONDA ENTRE AMIGOS,21700,CENTRO DE CONSUMO,RC COLA,237 ML,1,CJ12,12,61.6392,61.6392,0.0284,0.237,0.02844,RC COLA 237 ML NVO,COSAMALOAPAN,DETALLE,CF,1.001408451,COLA,PEÑAFIEL,2026
COS FRPED_CLIENTE/COSP-108853,,1156,16/07/2026,PEÑAFIEL BEBIDAS S.A. DE C.V.,1051,1002,MISCELANEA LEONOR RAMIREZ,121,PUNTO DE VENTA,SQUIRT,600 ML,1,UCJ,1,184.4828,184.4828,0.072,0.6,0.072,SQUIRT PEPINO LIMON 600 ML PET,COSAMALOAPAN,DETALLE,CF,1,PEPINO LIMON,PEÑAFIEL,2026
COS FRPED_CLIENTE/COSP-108856,,1155,16/07/2026,LABORATORIOS PISA S.A. DE C.V,1051,1002,LAS DELICIAS,6500,PUNTO DE VENTA,ELECTROLIT,625 ML,1,CJ12,12,293.0004,239.9604,0.075,0.625,0.075,ELECTROLIT FRESA 625 ML PET,COSAMALOAPAN,DETALLE,CF,1,FRESA,ELECTROLIT,2026
COS FRPED_CLIENTE/COSP-108875,,1008,16/07/2026,PEÑAFIEL BEBIDAS S.A. DE C.V.,1052,1001,MOLINO DE NIXTAMAL ZOYLITA,31,PUNTO DE VENTA,PEÑAFIEL ADAS,2 LITROS,1,UCJ,1,205.1724,205.1724,0.16,2,0.16,A. PIÑADA 2 L PET,COSAMALOAPAN,DETALLE,CF,1,PIÑA,PEÑAFIEL,2026
COS FRPED_CLIENTE/COSP-108881,,90063108,16/07/2026,BONAFONT S.A. DE C.V.,1052,1001,TIENDAS PINGUI RUIZ CORTINES,5474,TIENDAS DE CONVENIENCIA,BONAFONT BOTELLA,6 LITROS,2,UCJ,1,144,144,0.12,6,0.24,BONAFONT AGUA 6 L DUOPACK,COSAMALOAPAN,TDC,CF,2,NATURAL,BONAFONT BOTELLA,2026
COS FRPED_CLIENTE/COSP-108885,,90063411,16/07/2026,PEÑAFIEL BEBIDAS S.A. DE C.V.,1054,1002,ABARROTES RUBI,80,PUNTO DE VENTA,PEÑAFIEL AGUA MINERAL,600 ML,1,CJ12,12,167.2416,167.2416,0.072,0.6,0.072,AGUA MINERAL 600 ML PET,COSAMALOAPAN,DETALLE,CF,1,NATURAL,PEÑAFIEL,2026
COS FRPED_CLIENTE/COSP-108893,,90062680,16/07/2026,PEÑAFIEL BEBIDAS S.A. DE C.V.,1054,1002,ABARROTES MARGARITA,545,PUNTO DE VENTA,PEÑAFIEL SABORES,3 LITROS,1,UCJ,1,220.6897,220.6897,0.18,3,0.18,PEÑAFIEL MANZANITA 3 L PET,COSAMALOAPAN,DETALLE,CF,1,MANZANA CLARA,PEÑAFIEL,2026
COS FRPED_CLIENTE/COSP-108897,,90062737,16/07/2026,PEÑAFIEL BEBIDAS S.A. DE C.V.,1054,1002,CIBER SHADDAY,1484,PUNTO DE VENTA,PEÑAFIEL ADAS,3 LITROS,1,UCJ,1,220.6897,220.6897,0.18,3,0.18,PIÑADA 3 L PET,COSAMALOAPAN,DETALLE,CF,1,PIÑA,PEÑAFIEL,2026
COS FRPED_CLIENTE/COSP-108901,,1154,16/07/2026,PEÑAFIEL BEBIDAS S.A. DE C.V.,1051,1002,ABARROTES NEY,81,PUNTO DE VENTA,PEÑAFIEL ADAS,600 ML,1,UCJ,1,184.4828,184.4828,0.072,0.6,0.072,PET NARANJADA 600 ML,COSAMALOAPAN,DETALLE,CF,1,NARANJA,PEÑAFIEL,2026
