"FrogId a pedido
[Pedido]",FACTURA,"Cliente
[Cliente]","Fecha de liquidación
[Liquidación]","Descripción
Fabricante",PREVENTA,REPARTO,"Denominación comercial
[Cliente]","Producto
[Pedido det.]","Descripción
Canal","Descripción
Marca","Descripción
Catalogo presentaciones",CAJAS,"Unidad
[Pedido det.]","Multiplica
[Múltiplo producto]", IMPORTE BRUTO S/IMP , TOTAL S/IMP ,"Factor conversión 1
[Producto]","Factor conversión 3
[Producto]",HLT,"Descripción
[Producto]",PLAZA,CANAL,CLASIF,CF,SABOR,Compañía,AÑO
COS FRPED_CLIENTE/COSP-107541,,90063108,07/07/2026,PEÑAFIEL BEBIDAS S.A. DE C.V.,1052,1001,TIENDAS PINGUI RUIZ CORTINES,1401,TIENDAS DE CONVENIENCIA,PEÑAFIEL ADAS,1 LITRO,1,CJ12,12, $212.07 , $212.07 ,0.12,1,0.12,LIMONADA 1 LL,COSAMALOAPAN,TDC,CF,1,#N/D,PEÑAFIEL,2026
COS FRPED_CLIENTE/COSP-107541,,90063108,07/07/2026,PEÑAFIEL BEBIDAS S.A. DE C.V.,1052,1001,TIENDAS PINGUI RUIZ CORTINES,1484,TIENDAS DE CONVENIENCIA,PEÑAFIEL ADAS,3 LITROS,1,UCJ,1, $220.69 , $198.62 ,0.18,3,0.18,PIÑADA 3 L PET,COSAMALOAPAN,TDC,CF,1,PIÑA,PEÑAFIEL,2026
COS FRPED_CLIENTE/COSP-107545,,1163,07/07/2026,BONAFONT S.A. DE C.V.,1051,1002,LA FORTALEZA ,43441,PUNTO DE VENTA,BONAFONT BOTELLA,1 LITRO,1,UCJ,1, $126.00 , $96.00 ,0.12,1,0.12,BONAFONT AGUA 1 L PET,COSAMALOAPAN,DETALLE,CF,1,NATURAL,BONAFONT BOTELLA,2026
COS FRPED_CLIENTE/COSP-107548,,1290,07/07/2026,PEÑAFIEL BEBIDAS S.A. DE C.V.,1051,1002,HV ESTHER,63,PUNTO DE VENTA,PEÑAFIEL TWIST,600 ML,1,UCJ,1, $184.48 , $184.48 ,0.072,0.6,0.072,TWIST LIMON 600 ML PET,COSAMALOAPAN,DETALLE,CF,1,LIMON,PEÑAFIEL,2026
COS FRPED_CLIENTE/COSP-107556,,1122,07/07/2026,PEÑAFIEL BEBIDAS S.A. DE C.V.,1051,1002,ABARROTES LA ESQUINA ,38,PUNTO DE VENTA,PEÑAFIEL AGUA MINERAL,2 LITROS MIN,1,CJ08,8, $181.90 , $181.90 ,0.16,2,0.16,AGUA MINERAL 2 L PET,COSAMALOAPAN,DETALLE,CF,1,NATURAL,PEÑAFIEL,2026
COS FRPED_CLIENTE/COSP-107560,,1158,07/07/2026,PEÑAFIEL BEBIDAS S.A. DE C.V.,1051,1002,REFRESQUERIA LA MORENA ,321,PUNTO DE VENTA,SQUIRT,3 LITROS,1,UCJ,1, $220.69 , $220.69 ,0.18,3,0.18,SQUIRT 3 L  PET,COSAMALOAPAN,DETALLE,CF,1,TORONJA,PEÑAFIEL,2026
COS FRPED_CLIENTE/COSP-107561,,1158,07/07/2026,BONAFONT S.A. DE C.V.,1051,1002,REFRESQUERIA LA MORENA ,4344,PUNTO DE VENTA,BONAFONT BOTELLA,1.5 LITROS,1,UCJ,1, $163.00 , $129.00 ,0.18,1.5,0.18,BONAFONT AGUA 1.5 L,COSAMALOAPAN,DETALLE,CF,1,NATURAL,BONAFONT BOTELLA,2026
COS FRPED_CLIENTE/COSP-107544,,1377,07/07/2026,PEÑAFIEL BEBIDAS S.A. DE C.V.,1052,1001,ISABEL ACEVEDO ORTIZ,63,PUNTO DE VENTA,PEÑAFIEL TWIST,600 ML,1,UCJ,1, $184.48 , $184.48 ,0.072,0.6,0.072,TWIST LIMON 600 ML PET,COSAMALOAPAN,DETALLE,CF,1,LIMON,PEÑAFIEL,2026
COS FRPED_CLIENTE/COSP-107550,,1255,07/07/2026,PEÑAFIEL BEBIDAS S.A. DE C.V.,1051,1002,ABARROTES EMANUEL,80,PUNTO DE VENTA,PEÑAFIEL AGUA MINERAL,600 ML,1,CJ12,12, $167.24 , $167.24 ,0.072,0.6,0.072,AGUA MINERAL 600 ML PET,COSAMALOAPAN,DETALLE,CF,1,NATURAL,PEÑAFIEL,2026
COS FRPED_CLIENTE/COSP-107605,,1095,07/07/2026,COMERCIALIADORA ELORO S.A.,1054,1002,ABARROTES DON LALO ,114,PUNTO DE VENTA,BIDA,500 ML,1,CJ12,12, $154.00 , $154.00 ,0.06,0.5,0.06,BIDA UVA 500 ML ,COSAMALOAPAN,DETALLE,CF,1,UVA,JUMEX,2026
COS FRPED_CLIENTE/COSP-107606,,90065024,07/07/2026,LABORATORIOS PISA S.A. DE C.V,1054,1002,CREMERIA GAMI,6504,PUNTO DE VENTA,ELECTROLIT,625 ML,1,CJ12,12, $293.00 , $239.96 ,0.075,0.625,0.075,ELECTROLIT UVA 625 ML PET,COSAMALOAPAN,DETALLE,CF,1,UVA,ELECTROLIT,2026
COS FRPED_CLIENTE/COSP-107541,,90063108,07/07/2026,PEÑAFIEL BEBIDAS S.A. DE C.V.,1052,1001,TIENDAS PINGUI RUIZ CORTINES,118,TIENDAS DE CONVENIENCIA,PEÑAFIEL AGUA MINERAL,1 LITRO,1,UCJ,1, $203.02 , $182.72 ,0.12,1,0.12,PEÑAFIEL AGUA MINERAL 1 L PET,COSAMALOAPAN,TDC,CF,1,NATURAL,PEÑAFIEL,2026
COS FRPED_CLIENTE/COSP-107551,,1103,07/07/2026,PEÑAFIEL BEBIDAS S.A. DE C.V.,1051,1002,CREMERIA LA PASADITA ,63,PUNTO DE VENTA,PEÑAFIEL TWIST,600 ML,1,UCJ,1, $184.48 , $184.48 ,0.072,0.6,0.072,TWIST LIMON 600 ML PET,COSAMALOAPAN,DETALLE,CF,1,LIMON,PEÑAFIEL,2026
COS FRPED_CLIENTE/COSP-107553,,90062472,07/07/2026,PEÑAFIEL BEBIDAS S.A. DE C.V.,1051,1002,ABARROTES NAYE,38,PUNTO DE VENTA,PEÑAFIEL AGUA MINERAL,2 LITROS MIN,1,CJ08,8, $181.90 , $181.90 ,0.16,2,0.16,AGUA MINERAL 2 L PET,COSAMALOAPAN,DETALLE,CF,1,NATURAL,PEÑAFIEL,2026
COS FRPED_CLIENTE/COSP-107556,,1122,07/07/2026,PEÑAFIEL BEBIDAS S.A. DE C.V.,1051,1002,ABARROTES LA ESQUINA ,31,PUNTO DE VENTA,PEÑAFIEL ADAS,2 LITROS,1,UCJ,1, $205.17 , $205.17 ,0.16,2,0.16,A. PIÑADA 2 L PET,COSAMALOAPAN,DETALLE,CF,1,PIÑA,PEÑAFIEL,2026
COS FRPED_CLIENTE/COSP-107557,,1372,07/07/2026,PEÑAFIEL BEBIDAS S.A. DE C.V.,1051,1002,EL NEGOCIANTE,81,PUNTO DE VENTA,PEÑAFIEL ADAS,600 ML,1,UCJ,1, $184.48 , $184.48 ,0.072,0.6,0.072,PET NARANJADA 600 ML,COSAMALOAPAN,DETALLE,CF,1,NARANJA,PEÑAFIEL,2026
COS FRPED_CLIENTE/COSP-107560,,1158,07/07/2026,PEÑAFIEL BEBIDAS S.A. DE C.V.,1051,1002,REFRESQUERIA LA MORENA ,77,PUNTO DE VENTA,PEÑAFIEL ADAS,600 ML,1,UCJ,1, $184.48 , $184.48 ,0.072,0.6,0.072,PET PIÑADA 600 ML,COSAMALOAPAN,DETALLE,CF,1,PIÑA,PEÑAFIEL,2026
